,Prediction,Lower_CI,Upper_CI
2025-02-01,8799.194216117052,7996.997995112847,9601.390437121256
2025-03-01,8878.694181014027,7629.093343868979,10128.295018159075
2025-04-01,8893.815064373008,7270.956186381364,10516.67394236465
2025-05-01,8919.125019695994,6973.157690231237,10865.09234916075
2025-06-01,8967.716373778569,6735.862269647803,11199.570477909334
2025-07-01,9367.851126482761,6878.6131240173445,11857.089128948177
2025-08-01,9103.844970129237,6379.546331750772,11828.143608507704
2025-09-01,8816.207063045875,5874.700574349898,11757.713551741852
2025-10-01,8937.263429784332,5793.112855671105,12081.41400389756
2025-11-01,9062.515862363403,5727.822555659091,12397.209169067715
2025-12-01,9183.672206513529,5668.660203604539,12698.68420942252
