Date,ARIMA_mean,ARIMA_lower,ARIMA_upper
2025-02-01,11267.655765601035,6522.773732367706,16012.537798834364
2025-03-01,11637.429783633608,6802.157537253522,16472.702030013694
2025-04-01,11571.28293019082,6099.520993507579,17043.04486687406
2025-05-01,11649.430274562179,6639.382597797144,16659.477951327215
2025-06-01,11679.889427585265,6585.0282255932725,16774.75062957726
2025-07-01,11608.604562454044,6429.6643306380465,16787.54479427004
2025-08-01,11420.815829863357,6159.705929630919,16681.925730095794
2025-09-01,11169.239673449687,5826.734729185849,16511.744617713524
2025-10-01,11472.930007521985,5512.8463224242905,17433.01369261968
2025-11-01,10865.916080276302,4830.61960029967,16901.212560252934
2025-12-01,11621.959929381517,5988.637456776691,17255.282401986344
